Flight_ID,Date,Month,Day_of_Week,Departure_City,Arrival_City,Route_Type,Aircraft_Type,Flight_Duration_Minutes,Passengers,Seat_Capacity,Load_Factor_%,Ticket_Price_USD,Revenue_USD,Delay_Minutes,Delay_Category,On_Time_Status,Weather_Condition,Fuel_Consumption_Liters,CO2_Emissions_kg,Customer_Rating,Customer_Feedback,Severe_Delay_Probability
PK2026_0001,2026-06-09,June,Tuesday,Jeddah,Islamabad,International,Airbus A320,-1.5507732685645768,-0.2827070257682719,-0.0954442158200265,-0.6184870143026303,0.8876474226538908,0.2951352014067591,1.4393260644300383,Severe,Delayed,Clear,-1.1215208752321133,-1.1215208752321135,0.5412780847907374,Poor service,0.84
PK2026_0002,2026-08-12,August,Wednesday,Dubai,Kuala Lumpur,International,Airbus A320,0.091986366637826,0.4522440436447286,-0.0954442158200265,1.4987677259126946,-0.0649561422674569,0.3137644251769605,-1.3468970815686068,Minor,Delayed,Rain,-1.560831829068063,-1.5608318290680634,-0.1651207208089197,Average flight,0.08
PK2026_0003,2026-04-20,April,Monday,Doha,Lahore,International,ATR 72,0.4924601085528396,-0.9180037128879842,-1.1848204793949098,1.4987677259126946,-1.596519448757488,-1.1123579357915825,0.8041249326997775,Severe,Delayed,Fog,0.3800104783318995,0.3800104783318991,-1.0127992875285092,Delayed but comfortable,0.38
PK2026_0004,2026-12-07,December,Monday,Jeddah,Lahore,International,Boeing 777,0.4679413080274306,1.8474053957507637,1.5881372824320654,0.5229593219116545,1.1394254765976803,2.570251445213423,-0.4807137201182507,Moderate,Delayed,Rain,1.4766878535734829,1.4766878535734826,0.965117368150533,Average flight,0.14
PK2026_0005,2026-05-04,May,Monday,Lahore,Doha,International,Boeing 737,0.0838134331293563,0.2031080879115081,-0.2935126273790962,1.4987677259126946,-1.596519448757488,-1.0646792491735908,-0.5528956669057804,Moderate,Delayed,Fog,0.3667974979073021,0.3667974979073017,-1.0127992875285092,Delayed but comfortable,0.22
PK2026_0006,2026-01-12,January,Monday,Lahore,Dubai,International,Airbus A320,1.3097534593998064,0.3650464591381014,-0.0954442158200265,1.3837221328273448,0.2932435633432951,0.5316205359548424,1.0351071624198724,Severe,Delayed,Clear,-1.339947957876239,-1.3399479578762392,0.5412780847907374,Average flight,0.73
PK2026_0007,2026-08-01,August,Saturday,Jeddah,Dubai,International,Boeing 737,-0.6108859150905652,0.190651290124847,-0.2935126273790962,1.4987677259126946,1.5573251331435578,1.294764844989156,0.6164518710522003,Severe,Delayed,Rain,-0.4862655507557669,-0.4862655507557672,0.6825578459106696,Good experience,0.77
PK2026_0008,2026-09-11,September,Friday,Doha,London,International,Boeing 777,-1.3137581968189564,1.947059778044052,1.5881372824320654,0.6816667967101195,0.7033562697671996,2.4687150425871645,0.1833601903270222,Severe,Delayed,Rain,-1.560831829068063,-1.5608318290680634,1.671516173750191,Excellent service,0.56
PK2026_0009,2026-11-25,November,Wednesday,Lahore,London,International,Boeing 737,1.5716959783462587,-0.7436085438747299,-0.2935126273790962,-1.6435016659486092,-0.5840861503989817,-0.7658032532687641,-0.0187492606780608,Moderate,Delayed,Fog,-1.493135949673915,-1.4931359496739152,-0.7302397652886458,Excellent service,0.08
PK2026_0010,2026-07-15,July,Wednesday,Islamabad,Dubai,International,ATR 72,1.2035053237897009,-1.0799420841145777,-1.1848204793949098,0.3053429590875589,1.5943131462229283,-0.3365702448302687,-0.8127506753408872,Moderate,Delayed,Clear,0.6093795603901447,0.6093795603901445,-0.8715195264085774,Very smooth journey,0.12
PK2026_0011,2026-03-24,March,Tuesday,Dubai,Islamabad,International,Airbus A320,-0.6680964496498528,0.4273304480714066,-0.0954442158200265,1.4987677259126946,0.1660567113510715,0.4826638394100502,1.092852719849896,Severe,Delayed,Storm,-1.497471458875736,-1.4974714588757363,-1.0127992875285092,Very smooth journey,0.38
PK2026_0012,2026-02-13,February,Friday,Lahore,Kuala Lumpur,International,Airbus A320,-0.6762693831583225,-0.320077419128255,-0.0954442158200265,-0.7342256531294583,0.0051264088302988,-0.2184464622005806,-1.5923157006462076,Minor,On Time,Fog,0.4454560219974834,0.4454560219974831,1.5302364126302583,Good experience,0.2
PK2026_0013,2026-02-27,February,Friday,Jeddah,Islamabad,International,Boeing 737,0.0592946326039473,-0.1830526434749837,-0.2935126273790962,0.3053429590875589,0.2620957628554036,0.0368226461553637,-1.2169695773510534,Moderate,Delayed,Fog,1.2696156759817456,1.2696156759817454,-0.8715195264085774,Average flight,0.15
PK2026_0014,2026-11-23,November,Monday,Doha,London,International,Boeing 737,0.7621669143323386,-0.5069293859281704,-0.2935126273790962,-0.8208563708142098,-0.6489774014154223,-0.6666891252712087,-0.2497314903981557,Moderate,Delayed,Storm,0.6475733319299967,0.6475733319299963,1.388956651510327,Delayed but comfortable,0.24
PK2026_0015,2026-12-08,December,Tuesday,Doha,Karachi,International,Boeing 737,-1.5507732685645768,-0.6564109593681027,-0.2935126273790962,-1.3406406769227184,1.5943131462229283,0.1881390214885633,-0.3652226052582032,Moderate,Delayed,Storm,-0.9476876015210038,-0.9476876015210042,1.671516173750191,Delayed but comfortable,0.26
PK2026_0016,2026-08-16,August,Sunday,Karachi,Lahore,Domestic,Airbus A320,0.606881177671415,-0.5941269704347976,-0.0954442158200265,-1.5811275492155883,1.079725525662555,0.0398898699796854,0.0823054648244807,Severe,Delayed,Fog,0.200602978504163,0.2006029785041627,-0.7302397652886458,Good experience,0.81
PK2026_0017,2026-09-06,September,Sunday,Kuala Lumpur,Karachi,International,ATR 72,0.435249573993552,-0.9304605106746452,-1.1848204793949098,1.4932233599808706,-1.367972462677584,-1.112126110735093,0.8618704901298012,Severe,Delayed,Fog,1.5700561410269855,1.570056141026985,1.671516173750191,Poor service,0.82
PK2026_0018,2026-11-20,November,Friday,Doha,Lahore,International,Boeing 737,-0.1613745721247335,0.2031080879115081,-0.2935126273790962,1.4987677259126946,1.017429924686772,0.9182096224637192,-1.5923157006462076,Minor,On Time,Clear,0.2557258812130302,0.2557258812130299,0.8238376070306006,Good experience,0.26
PK2026_0019,2026-10-10,October,Saturday,Karachi,Islamabad,Domestic,Boeing 777,-0.0959911040569762,1.3989606754309667,1.5881372824320654,-0.1894917003277413,-1.1784900097095774,-0.2883506330804685,0.5298335349071647,Severe,Delayed,Fog,0.2206289019601934,0.2206289019601931,-0.8715195264085774,Delayed but comfortable,0.91
PK2026_0020,2026-04-26,April,Sunday,Kuala Lumpur,Lahore,International,Boeing 777,0.925625584501732,2.034257362550679,1.5881372824320654,0.8202759450057219,1.3237166294843716,2.570251445213423,1.4393260644300383,Severe,Delayed,Fog,0.3554425928549137,0.3554425928549134,0.965117368150533,Very smooth journey,0.83
PK2026_0021,2026-05-18,May,Monday,Karachi,Jeddah,International,Boeing 737,0.6150541111798846,-0.6065837682214585,-0.2935126273790962,-1.1673792415532156,0.4334086655388067,-0.2528041244187567,0.0389962967519629,Severe,Delayed,Clear,-1.560831829068063,-1.5608318290680634,0.965117368150533,Good experience,0.92
PK2026_0022,2026-12-18,December,Friday,Kuala Lumpur,London,International,Airbus A320,-0.0224347024807492,-0.369904610274899,-0.0954442158200265,-0.8880818077375768,-0.3349037464958498,-0.4324744874302781,0.0823054648244807,Severe,Delayed,Clear,1.5055912482522895,1.5055912482522893,-0.5889600041687147,Very smooth journey,0.72
