Flight_ID,Date,Month,Day_of_Week,Departure_City,Arrival_City,Route_Type,Aircraft_Type,Flight_Duration_Minutes,Passengers,Seat_Capacity,Load_Factor_%,Ticket_Price_USD,Revenue_USD,Delay_Minutes,Delay_Category,On_Time_Status,Weather_Condition,Fuel_Consumption_Liters,CO2_Emissions_kg,Customer_Rating,Customer_Feedback
PK2026_0001,2026-06-09,June,Tuesday,Jeddah,Islamabad,International,Airbus A320,-1.5507732685645768,-0.2827070257682719,-0.09544421582002657,-0.6184870143026303,0.8876474226538908,0.2951352014067591,1.4393260644300385,Severe,Delayed,Clear,-1.1215208752321133,-1.1215208752321135,0.5412780847907374,Poor service
PK2026_0002,2026-08-12,August,Wednesday,Dubai,Kuala Lumpur,International,Airbus A320,0.09198636663782606,0.45224404364472864,-0.09544421582002657,1.4987677259126946,-0.06495614226745697,0.3137644251769605,-1.3468970815686068,Minor,Delayed,Rain,-1.560831829068063,-1.5608318290680634,-0.16512072080891976,Average flight
PK2026_0003,2026-04-20,April,Monday,Doha,Lahore,International,ATR 72,0.49246010855283967,-0.9180037128879842,-1.1848204793949098,1.4987677259126946,-1.5965194487574879,-1.1123579357915825,0.8041249326997775,Severe,Delayed,Fog,0.3800104783318995,0.38001047833189916,-1.0127992875285092,Delayed but comfortable
PK2026_0004,2026-12-07,December,Monday,Jeddah,Lahore,International,Boeing 777,0.46794130802743067,1.8474053957507635,1.5881372824320654,0.5229593219116545,1.1394254765976803,2.570251445213423,-0.4807137201182507,Moderate,Delayed,Rain,1.4766878535734829,1.4766878535734826,0.965117368150533,Average flight
PK2026_0005,2026-05-04,May,Monday,Lahore,Doha,International,Boeing 737,0.08381343312935638,0.2031080879115081,-0.2935126273790962,1.4987677259126946,-1.5965194487574879,-1.0646792491735908,-0.5528956669057804,Moderate,Delayed,Fog,0.3667974979073021,0.36679749790730176,-1.0127992875285092,Delayed but comfortable
PK2026_0006,2026-01-12,January,Monday,Lahore,Dubai,International,Airbus A320,1.3097534593998064,0.36504645913810146,-0.09544421582002657,1.3837221328273448,0.2932435633432951,0.5316205359548424,1.0351071624198724,Severe,Delayed,Clear,-1.339947957876239,-1.3399479578762392,0.5412780847907374,Average flight
PK2026_0007,2026-08-01,August,Saturday,Jeddah,Dubai,International,Boeing 737,-0.6108859150905652,0.19065129012484708,-0.2935126273790962,1.4987677259126946,1.5573251331435578,1.294764844989156,0.6164518710522003,Severe,Delayed,Rain,-0.4862655507557669,-0.4862655507557672,0.6825578459106696,Good experience
PK2026_0008,2026-09-11,September,Friday,Doha,London,International,Boeing 777,-1.3137581968189564,1.9470597780440517,1.5881372824320654,0.6816667967101195,0.7033562697671996,2.4687150425871645,0.18336019032702228,Severe,Delayed,Rain,-1.560831829068063,-1.5608318290680634,1.6715161737501907,Excellent service
PK2026_0009,2026-11-25,November,Wednesday,Lahore,London,International,Boeing 737,1.5716959783462587,-0.7436085438747299,-0.2935126273790962,-1.6435016659486092,-0.5840861503989817,-0.7658032532687641,-0.01874926067806081,Moderate,Delayed,Fog,-1.493135949673915,-1.4931359496739152,-0.7302397652886458,Excellent service
PK2026_0010,2026-07-15,July,Wednesday,Islamabad,Dubai,International,ATR 72,1.2035053237897007,-1.0799420841145775,-1.1848204793949098,0.3053429590875589,1.5943131462229283,-0.3365702448302687,-0.8127506753408872,Moderate,Delayed,Clear,0.6093795603901447,0.6093795603901445,-0.8715195264085774,Very smooth journey
PK2026_0011,2026-03-24,March,Tuesday,Dubai,Islamabad,International,Airbus A320,-0.6680964496498528,0.4273304480714066,-0.09544421582002657,1.4987677259126946,0.16605671135107153,0.4826638394100502,1.092852719849896,Severe,Delayed,Storm,-1.4974714588757359,-1.4974714588757363,-1.0127992875285092,Very smooth journey
PK2026_0012,2026-02-13,February,Friday,Lahore,Kuala Lumpur,International,Airbus A320,-0.6762693831583225,-0.320077419128255,-0.09544421582002657,-0.7342256531294583,0.005126408830298866,-0.2184464622005806,-1.5923157006462076,Minor,On Time,Fog,0.4454560219974834,0.44545602199748313,1.5302364126302583,Good experience
PK2026_0013,2026-02-27,February,Friday,Jeddah,Islamabad,International,Boeing 737,0.059294632603947385,-0.1830526434749837,-0.2935126273790962,0.3053429590875589,0.2620957628554036,0.03682264615536379,-1.2169695773510534,Moderate,Delayed,Fog,1.2696156759817456,1.2696156759817454,-0.8715195264085774,Average flight
PK2026_0014,2026-11-23,November,Monday,Doha,London,International,Boeing 737,0.7621669143323386,-0.5069293859281704,-0.2935126273790962,-0.8208563708142098,-0.6489774014154223,-0.6666891252712087,-0.24973149039815576,Moderate,Delayed,Storm,0.6475733319299967,0.6475733319299963,1.3889566515103273,Delayed but comfortable
PK2026_0015,2026-12-08,December,Tuesday,Doha,Karachi,International,Boeing 737,-1.5507732685645768,-0.6564109593681027,-0.2935126273790962,-1.3406406769227184,1.5943131462229283,0.18813902148856332,-0.36522260525820327,Moderate,Delayed,Storm,-0.9476876015210038,-0.9476876015210042,1.6715161737501907,Delayed but comfortable
PK2026_0016,2026-08-16,August,Sunday,Karachi,Lahore,Domestic,Airbus A320,0.606881177671415,-0.5941269704347976,-0.09544421582002657,-1.5811275492155883,1.079725525662555,0.039889869979685404,0.08230546482448074,Severe,Delayed,Fog,0.20060297850416303,0.20060297850416273,-0.7302397652886458,Good experience
PK2026_0017,2026-09-06,September,Sunday,Kuala Lumpur,Karachi,International,ATR 72,0.435249573993552,-0.9304605106746453,-1.1848204793949098,1.4932233599808706,-1.367972462677584,-1.112126110735093,0.8618704901298012,Severe,Delayed,Fog,1.5700561410269855,1.570056141026985,1.6715161737501907,Poor service
PK2026_0018,2026-11-20,November,Friday,Doha,Lahore,International,Boeing 737,-0.16137457212473358,0.2031080879115081,-0.2935126273790962,1.4987677259126946,1.017429924686772,0.9182096224637191,-1.5923157006462076,Minor,On Time,Clear,0.25572588121303025,0.25572588121302997,0.8238376070306006,Good experience
PK2026_0019,2026-10-10,October,Saturday,Karachi,Islamabad,Domestic,Boeing 777,-0.09599110405697626,1.3989606754309667,1.5881372824320654,-0.18949170032774135,-1.1784900097095774,-0.2883506330804685,0.5298335349071647,Severe,Delayed,Fog,0.22062890196019347,0.22062890196019316,-0.8715195264085774,Delayed but comfortable
PK2026_0020,2026-04-26,April,Sunday,Kuala Lumpur,Lahore,International,Boeing 777,0.9256255845017319,2.034257362550679,1.5881372824320654,0.8202759450057219,1.3237166294843716,2.570251445213423,1.4393260644300385,Severe,Delayed,Fog,0.3554425928549137,0.3554425928549134,0.965117368150533,Very smooth journey
